apartment_id,apartment_name,province,city_district,town,village,legal_dong_code,source_system,loaded_at_kst,profile_apartment_name,lot_address,road_address,sale_type,heating_type,management_type,hall_type,total_area_m2,management_area_m2,private_area_m2,building_count,household_count,households_under_60m2,households_60_to_85m2,households_85_to_135m2,households_over_135m2,approval_date,max_floor,basement_floor,construction_company,management_company,profile_available,profile_source_system,profile_loaded_at_kst,approval_year
A13593908,SH공사대치1단지,서울특별시,강남구,개포동,,1168010300,K-APT,2026-07-19T10:00:33+09:00,SH공사대치1단지,서울특별시 강남구 개포동 12 SH공사대치1단지,서울특별시 강남구 개포로109길 5,임대,지역난방,위탁관리,복도식,73357.0,67049.56,46586.33,8,1623,1623,0,0,0,1991-11-20,15,0,SH공사,남강개발,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,1991
A13524006,개포2차 현대아파트,서울특별시,강남구,개포동,,1168010300,K-APT,2026-07-19T10:00:33+09:00,개포2차 현대아파트,서울특별시 강남구 개포동 654 개포2차 현대아파트,서울특별시 강남구 언주로 107,분양,지역난방,자치관리,계단식,92836.19,92376.66,75527.0,13,558,0,112,230,216,1986-01-31,9,1,현대산업개발(주),현대산업개발(주),True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,1986
A10023565,개포6차우성아파트,서울특별시,강남구,개포동,,1168010300,K-APT,2026-07-19T10:00:33+09:00,개포6차우성아파트,서울특별시 강남구 개포동 658-1 개포6차우성아파트,서울특별시 강남구 언주로 3,분양,개별난방,자치관리,계단식,22637.1,22637.1,20203.8,8,270,20,250,0,0,1987-11-21,5,0,우성건설,모름,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,1987
A13580602,개포경남아파트,서울특별시,강남구,개포동,,1168010300,K-APT,2026-07-19T10:00:33+09:00,개포경남아파트,서울특별시 강남구 개포동 649 개포경남아파트,서울특별시 강남구 언주로 110,분양,지역난방,위탁관리,계단식,102480.0,94971.66,92546.465,9,678,0,3,387,288,1984-03-08,15,0,경남건설,경남건설,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,1984
A13524009,개포대치2단지,서울특별시,강남구,개포동,,1168010300,K-APT,2026-07-19T10:00:33+09:00,개포대치2단지,서울특별시 강남구 개포동 12 개포대치2단지,서울특별시 강남구 개포로109길 9,분양,지역난방,위탁관리,복도식,105381.17,100905.94,71852.9,11,1753,1753,0,0,0,1992-10-14,15,0,성원건설.진덕산업주식회사,서울특별시도시개발공사,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,1992
A10023996,개포더샵트리에,서울특별시,강남구,개포동,,1168010300,K-APT,2026-07-19T10:00:33+09:00,개포더샵트리에,서울특별시 강남구 개포동 651-1 개포더샵트리에,서울특별시 강남구 개포로 311,분양,지역난방,위탁관리,계단식,44951.176,31173.582,24877.8335,2,232,0,0,232,0,2021-12-01,16,3,포스코,개포우성9차모델링조합,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,2021
A10024564,개포래미안포레스트,서울특별시,강남구,개포동,,1168010300,K-APT,2026-07-19T10:00:33+09:00,개포래미안포레스트,서울특별시 강남구 개포동 1282 개포래미안포레스트,서울특별시 강남구 개포로 264,혼합,지역난방,위탁관리,혼합식,422390.0,244894.45,178215.29,31,2296,900,905,458,33,2020-09-28,35,3,삼성물산(주),개포시영아파트 주택재건축 정비사업조합,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,2020
A13524004,개포우성3차,서울특별시,강남구,개포동,,1168010300,K-APT,2026-07-19T10:00:33+09:00,개포우성3차,서울특별시 강남구 개포동 652 개포우성3차,서울특별시 강남구 개포로 307,분양,지역난방,자치관리,혼합식,63304.19,61064.234,53437.05,5,405,0,0,285,120,1984-12-31,15,1,우성건설,우성건설,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,1984
A13580002,개포우성8차,서울특별시,강남구,개포동,,1168010300,K-APT,2026-07-19T10:00:33+09:00,개포우성8차,서울특별시 강남구 개포동 179 개포우성8차,서울특별시 강남구 개포로 411,분양,지역난방,위탁관리,혼합식,26745.86,26745.39,20759.85,3,261,0,261,0,0,1987-09-21,9,1,우성건설,영동전화국 주택조합,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,1987
A13593901,개포자이아파트,서울특별시,강남구,개포동,,1168010300,K-APT,2026-07-19T10:00:33+09:00,개포자이아파트,서울특별시 강남구 개포동 12-2 개포자이아파트,서울특별시 강남구 개포로109길 69,분양,지역난방,자치관리,계단식,60358.78,38614.46,32275.48,4,212,0,0,84,128,2004-06-17,22,2,화엄건설(주),LG건설,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,2004
A10023348,개포자이프레지던스,서울특별시,강남구,개포동,,1168010300,K-APT,2026-07-19T10:00:33+09:00,개포자이프레지던스,서울특별시 강남구 개포동 189 개포자이프레지던스,서울특별시 강남구 삼성로 14,혼합,지역난방,위탁관리,혼합식,641456.8,347743.75,263529.02,35,3375,1068,1848,457,2,2023-02-28,35,4,GS건설,개포주공4단지주택재건축조합,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,2023
A13599402,개포주공5단지,서울특별시,강남구,개포동,,1168010300,K-APT,2026-07-19T10:00:33+09:00,개포주공5단지,서울특별시 강남구 개포동 187 개포주공5단지,서울특별시 강남구 삼성로4길 17,분양,지역난방,위탁관리,복도식,93810.0,65959.9,65959.9,6,940,190,750,0,0,1983-10-26,14,1,대한주택공사,대우건설,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,1983
A13599303,개포주공6단지,서울특별시,강남구,개포동,,1168010300,K-APT,2026-07-19T10:00:33+09:00,개포주공6단지,서울특별시 강남구 개포동 185 개포주공6단지,서울특별시 강남구 개포로 516,분양,지역난방,위탁관리,혼합식,94816.95,94577.76,73333.1,9,1060,220,840,0,0,1983-10-26,15,1,현대건설(주),대한주택공사,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,1983
A13599301,개포주공7단지,서울특별시,강남구,개포동,,1168010300,K-APT,2026-07-19T10:00:33+09:00,개포주공7단지,서울특별시 강남구 개포동 185 개포주공7단지,서울특별시 강남구 개포로 516,분양,지역난방,자치관리,복도식,86506.7,86391.0,62938.8,8,900,180,720,0,0,1983-10-26,15,1,주택공사,주택공사,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,1983
A13524005,개포현대1차,서울특별시,강남구,개포동,,1168010300,K-APT,2026-07-19T10:00:33+09:00,개포현대1차,서울특별시 강남구 개포동 653 개포현대1차,서울특별시 강남구 개포로 303,분양,지역난방,자치관리,계단식,68692.0,68330.57,60962.54,6,416,0,0,208,208,1984-04-20,13,1,현대산업개발(주),현대,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,1984
A13580001,개포현대3차,서울특별시,강남구,개포동,,1168010300,K-APT,2026-07-19T10:00:33+09:00,개포현대3차,서울특별시 강남구 개포동 177 개포현대3차,서울특별시 강남구 개포로 409,분양,지역난방,위탁관리,계단식,33306.44,27194.512,27029.16,5,198,0,54,36,108,1986-03-31,9,0,현대건설(주),현대건설(주),True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,1986
A13594007,대청,서울특별시,강남구,개포동,,1168010300,K-APT,2026-07-19T10:00:33+09:00,대청,서울특별시 강남구 개포동 12 대청,서울특별시 강남구 개포로109길 21,분양,지역난방,위탁관리,복도식,56825.18,56825.0,40402.1,6,822,822,0,0,0,1992-10-14,15,0,삼익건설,도시개발공사,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,1992
A10025203,디에이치 아너힐즈,서울특별시,강남구,개포동,,1168010300,K-APT,2026-07-19T10:00:33+09:00,디에이치 아너힐즈,서울특별시 강남구 개포동 138 디에이치 아너힐즈,서울특별시 강남구 삼성로 11,혼합,지역난방,위탁관리,혼합식,233596.98,142115.88,104224.24,23,1320,426,629,261,4,2019-08-29,33,3,현대건설,개포주공3단지주택재건축정비사업조합,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,2019
A10022859,디에이치퍼스티어아이파크,서울특별시,강남구,개포동,,1168010300,K-APT,2026-07-19T10:00:33+09:00,디에이치퍼스티어아이파크,서울특별시 강남구 개포동 660-4 디에이치퍼스티어아이파크,서울특별시 강남구 개포로 310,혼합,지역난방,위탁관리,기타,1306341.1,748764.25,570729.28,74,0,0,0,0,0,2023-11-29,35,4,"현대산업개발, 현대건설","현대산업개발, 현대건설",True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,2023
A10025675,래미안블레스티지,서울특별시,강남구,개포동,,1168010300,K-APT,2026-07-19T10:00:33+09:00,래미안블레스티지,서울특별시 강남구 개포동 1280 래미안블레스티지,서울특별시 강남구 선릉로 8,혼합,지역난방,위탁관리,계단식,362894.62,215906.78,160922.329,23,1957,661,780,511,5,2019-02-26,35,5,삼성물산,개포주공2단지주택재건축정비사업조합,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,2019
A40010008,한국감정원1,서울특별시,강남구,개포동,,1168010300,K-APT,2026-07-19T10:00:33+09:00,,,,,,,,,,,,,,,,,,,,,,False,,,
A10024035,강남파라곤,서울특별시,강남구,논현동,,1168010800,K-APT,2026-07-19T10:00:33+09:00,강남파라곤,서울특별시 강남구 논현동 241-1 강남파라곤,서울특별시 강남구 학동로 338,분양,개별난방,위탁관리,계단식,40008.92,9415.52,12959.56,1,0,0,0,0,0,2007-01-30,20,6,동양건설산업(주),(주)SG개발,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,2007
