peer_rank,model_version,target_apartment_id,target_apartment_name,apartment_id,apartment_name,city_district,household_count,approval_year,heating_type,management_type,structural_similarity_score,similarity_evidence_coverage_pct,cost_data_coverage_pct,valid_cost_category_count,peer_suitability_score,household_count_similarity_pct,approval_year_similarity_pct,management_area_per_household_similarity_pct,building_count_similarity_pct,city_district_similarity_pct,heating_type_similarity_pct,management_type_similarity_pct,hall_type_similarity_pct,sale_type_similarity_pct,peer_group_class,model_selected,selection_policy,raw_model_weight,model_weight
1,peer-group-v1.0,A15784601,마곡현대아파트,A15784003,등촌코오롱오투빌1차,강서구,191.0,1999.0,개별난방,위탁관리,93.22,100.0,100.0,6,94.58,94.55,100.0,97.24,50.0,100.0,100.0,100.0,100.0,100.0,CORE,True,THRESHOLD,0.8945376399999999,0.04026244
2,peer-group-v1.0,A15784601,마곡현대아파트,A15783902,등촌태영,강서구,186.0,1998.0,개별난방,위탁관리,94.93,100.0,91.67,6,94.28,92.08,95.0,97.18,83.33,100.0,100.0,100.0,100.0,100.0,CORE,True,THRESHOLD,0.814828815728,0.03667481
3,peer-group-v1.0,A15784601,마곡현대아파트,A15704009,염창벽산늘푸른,강서구,206.0,1998.0,개별난방,위탁관리,93.95,100.0,91.67,6,93.5,98.02,95.0,91.88,66.67,100.0,100.0,100.0,100.0,100.0,CORE,True,THRESHOLD,0.8014020575000002,0.03607048
4,peer-group-v1.0,A15784601,마곡현대아파트,A15783701,등촌임광,강서구,168.0,2000.0,개별난방,위탁관리,91.65,100.0,100.0,6,93.32,83.17,95.0,90.18,83.33,100.0,100.0,100.0,100.0,100.0,CORE,True,THRESHOLD,0.8708622399999999,0.03919683
5,peer-group-v1.0,A15784601,마곡현대아파트,A15786510,염창한강동아(2차),강서구,212.0,1998.0,개별난방,위탁관리,94.91,100.0,83.33,6,92.59,95.05,95.0,92.09,83.33,100.0,100.0,100.0,100.0,100.0,CORE,True,THRESHOLD,0.714380431973,0.03215371
6,peer-group-v1.0,A15784601,마곡현대아파트,A15785703,마곡한숲대림아파트,강서구,206.0,1999.0,개별난방,위탁관리,94.03,100.0,83.33,6,91.89,98.02,100.0,94.59,83.33,100.0,100.0,100.0,0.0,100.0,CORE,True,THRESHOLD,0.7036195290930001,0.03166937
7,peer-group-v1.0,A15784601,마곡현대아파트,A15722104,마곡청구아파트,강서구,209.0,1998.0,개별난방,위탁관리,91.89,100.0,91.67,6,91.85,96.53,95.0,89.52,83.33,100.0,100.0,100.0,0.0,100.0,CORE,True,THRESHOLD,0.773366850575,0.03480864
8,peer-group-v1.0,A15784601,마곡현대아파트,A15722007,방화삼성꽃마을,강서구,206.0,1997.0,개별난방,위탁관리,91.72,100.0,91.67,6,91.71,98.02,90.0,92.53,83.33,100.0,100.0,100.0,0.0,100.0,CORE,True,THRESHOLD,0.771011078247,0.03470261
9,peer-group-v1.0,A15784601,마곡현대아파트,A15784402,등촌태진아름,강서구,221.0,1995.0,개별난방,위탁관리,91.58,100.0,91.67,6,91.6,90.59,80.0,97.32,83.33,100.0,100.0,100.0,100.0,100.0,CORE,True,THRESHOLD,0.7691626351999999,0.03461941
10,peer-group-v1.0,A15784601,마곡현대아파트,A15703005,등촌대동황토방2차아파트,강서구,196.0,2003.0,개별난방,위탁관리,91.52,100.0,91.67,6,91.55,97.03,80.0,95.06,100.0,100.0,100.0,100.0,0.0,100.0,CORE,True,THRESHOLD,0.7683231671749999,0.03458163
11,peer-group-v1.0,A15784601,마곡현대아파트,A15786408,삼정그린코아,강서구,206.0,2001.0,개별난방,위탁관리,88.72,100.0,100.0,6,90.97,98.02,90.0,72.52,83.33,100.0,100.0,100.0,0.0,100.0,CORE,True,THRESHOLD,0.8275540899999999,0.03724757
12,peer-group-v1.0,A15784601,마곡현대아파트,A15701601,우장산롯데3차,강서구,206.0,2004.0,개별난방,위탁관리,90.19,100.0,91.67,6,90.49,98.02,75.0,91.23,100.0,100.0,100.0,100.0,0.0,100.0,CORE,True,THRESHOLD,0.7506343039669999,0.03378547
13,peer-group-v1.0,A15784601,마곡현대아파트,A15703002,등촌대동황토방,강서구,241.0,2000.0,개별난방,위탁관리,90.09,100.0,91.67,6,90.4,80.69,95.0,83.86,83.33,100.0,100.0,100.0,100.0,100.0,CORE,True,THRESHOLD,0.7491419072000001,0.03371829
14,peer-group-v1.0,A15784601,마곡현대아파트,A15786312,염창극동상록수,강서구,256.0,1999.0,개별난방,위탁관리,89.87,100.0,91.67,6,90.23,73.27,100.0,99.25,66.67,100.0,100.0,100.0,100.0,100.0,CORE,True,THRESHOLD,0.7463269873430001,0.0335916
15,peer-group-v1.0,A15784601,마곡현대아파트,A15786111,염창극동,강서구,249.0,2000.0,개별난방,위탁관리,89.42,100.0,91.67,6,89.87,76.73,95.0,97.14,66.67,100.0,100.0,100.0,100.0,100.0,CORE,True,THRESHOLD,0.7403834712230002,0.03332408
16,peer-group-v1.0,A15784601,마곡현대아파트,A15722304,치현마을동일스위트리버아파트,강서구,213.0,2004.0,개별난방,위탁관리,88.92,100.0,91.67,6,89.47,94.55,75.0,99.63,83.33,100.0,100.0,100.0,0.0,100.0,CORE,True,THRESHOLD,0.7338074321029999,0.0330281
