cohort_role,peer_rank,apartment_id,apartment_name,city_district,household_count,approval_year,heating_type,management_type,match_tier,match_rule,household_diff_ratio,approval_year_diff,similarity_score,peer_distance_score,province,town,village,legal_dong_code,source_system,loaded_at_kst,profile_apartment_name,lot_address,road_address,sale_type,hall_type,total_area_m2,management_area_m2,private_area_m2,building_count,households_under_60m2,households_60_to_85m2,households_85_to_135m2,households_over_135m2,approval_date,max_floor,basement_floor,construction_company,management_company,profile_available,profile_source_system,profile_loaded_at_kst,profile_completeness_pct,same_district,same_heating_type,same_management_type
TARGET,0,A15784601,마곡현대아파트,강서구,202.0,1999.0,개별난방,위탁관리,0,분석 대상 단지,0.0,0.0,100.0,0.0,서울특별시,방화동,,1150010900,K-APT,2026-07-19T10:00:33+09:00,마곡현대아파트,서울특별시 강서구 방화동 863 마곡현대아파트,서울특별시 강서구 양천로 140,분양,혼합식,28598.8,20234.98,15711.79,4.0,67.0,120.0,15.0,0.0,1999-12-23,15.0,3.0,현대산업개발,강서재건축조합,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,100.0,True,True,True
PEER,1,A15785703,마곡한숲대림아파트,강서구,206.0,1999.0,개별난방,위탁관리,1,"같은 자치구·난방·관리, 세대수 ±30%, 연도 ±7",0.019801980198019802,0.0,99.21,0.9901,서울특별시,방화동,,1150010900,K-APT,2026-07-19T10:00:33+09:00,마곡한숲대림아파트,서울특별시 강서구 방화동 862 마곡한숲대림아파트,서울특별시 강서구 방화대로50길 7,분양,계단식,25896.0,19519.58,15321.64,3.0,86.0,120.0,0.0,0.0,1999-08-16,15.0,2.0,대림산업(주),대림산업(주),True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,100.0,True,True,True
PEER,2,A15784003,등촌코오롱오투빌1차,강서구,191.0,1999.0,개별난방,위탁관리,1,"같은 자치구·난방·관리, 세대수 ±30%, 연도 ±7",0.054455445544554455,0.0,97.82,2.7228,서울특별시,등촌동,,1150010200,K-APT,2026-07-19T10:00:33+09:00,등촌코오롱오투빌1차,서울특별시 강서구 등촌동 642 등촌코오롱오투빌1차,서울특별시 강서구 화곡로66길 90,분양,혼합식,25254.0,18605.4,14237.81,1.0,79.0,112.0,0.0,0.0,1999-06-14,19.0,2.0,코오롱건설,제일아파트 재건축조합,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,100.0,True,True,True
PEER,3,A15704009,염창벽산늘푸른,강서구,206.0,1998.0,개별난방,위탁관리,1,"같은 자치구·난방·관리, 세대수 ±30%, 연도 ±7",0.019801980198019802,1.0,97.71,2.9901,서울특별시,염창동,,1150010100,K-APT,2026-07-19T10:00:33+09:00,염창벽산늘푸른,서울특별시 강서구 염창동 290 염창벽산늘푸른,서울특별시 강서구 양천로63길 52,분양,혼합식,23813.34,18959.2,14780.69,2.0,105.0,101.0,0.0,0.0,1998-11-05,15.0,2.0,벽산건설(주),한국산업은행염창주택조합외3개조합,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,100.0,True,True,True
PEER,4,A15722104,마곡청구아파트,강서구,209.0,1998.0,개별난방,위탁관리,1,"같은 자치구·난방·관리, 세대수 ±30%, 연도 ±7",0.034653465346534656,1.0,97.11,3.7327,서울특별시,방화동,,1150010900,K-APT,2026-07-19T10:00:33+09:00,마곡청구아파트,서울특별시 강서구 방화동 859 마곡청구아파트,서울특별시 강서구 양천로26길 103,분양,계단식,25359.03,18742.06,14772.09,3.0,119.0,90.0,0.0,0.0,1998-02-20,15.0,2.0,청구,방화동 청구 연합 주택 조합,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,100.0,True,True,True
PEER,5,A15786510,염창한강동아(2차),강서구,212.0,1998.0,개별난방,위탁관리,1,"같은 자치구·난방·관리, 세대수 ±30%, 연도 ±7",0.04950495049504951,1.0,96.52,4.4752,서울특별시,염창동,,1150010100,K-APT,2026-07-19T10:00:33+09:00,염창한강동아(2차),서울특별시 강서구 염창동 293 염창한강동아(2차),서울특별시 강서구 양천로73길 80,분양,혼합식,31045.75,22915.61,17376.77,3.0,85.0,77.0,50.0,0.0,1998-07-21,17.0,3.0,동아건설산업(주),염창동한강연립재건축주택조합,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,100.0,True,True,True
PEER,6,A15722007,방화삼성꽃마을,강서구,206.0,1997.0,개별난방,위탁관리,1,"같은 자치구·난방·관리, 세대수 ±30%, 연도 ±7",0.019801980198019802,2.0,96.21,4.9901,서울특별시,방화동,,1150010900,K-APT,2026-07-19T10:00:33+09:00,방화삼성꽃마을,서울특별시 강서구 방화동 858 방화삼성꽃마을,서울특별시 강서구 양천로18길 27,분양,계단식,19094.18,19094.18,15080.08,3.0,87.0,119.0,0.0,0.0,1997-10-06,13.0,0.0,삼성,삼성중공업,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,100.0,True,True,True
PEER,7,A15786408,삼정그린코아,강서구,206.0,2001.0,개별난방,위탁관리,1,"같은 자치구·난방·관리, 세대수 ±30%, 연도 ±7",0.019801980198019802,2.0,96.21,4.9901,서울특별시,염창동,,1150010100,K-APT,2026-07-19T10:00:33+09:00,삼정그린코아,서울특별시 강서구 염창동 282 삼정그린코아,서울특별시 강서구 공항대로75길 30,분양,계단식,36067.066,26305.574,19580.431,3.0,12.0,105.0,89.0,0.0,2001-05-31,15.0,2.0,삼정건설,대동환경연립연립기산연립주택조합,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,100.0,True,True,True
PEER,8,A15783902,등촌태영,강서구,186.0,1998.0,개별난방,위탁관리,1,"같은 자치구·난방·관리, 세대수 ±30%, 연도 ±7",0.07920792079207921,1.0,95.33,5.9604,서울특별시,등촌동,,1150010200,K-APT,2026-07-19T10:00:33+09:00,등촌태영,서울특별시 강서구 등촌동 632-2 등촌태영,서울특별시 강서구 양천로 590,분양,혼합식,24320.887,19157.488,14905.04,3.0,84.0,62.0,40.0,0.0,1998-06-25,20.0,2.0,태영건설(주),등촌동 해바라기 재건축 주택조합,True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,100.0,True,True,True
PEER,9,A15722102,개화산동부센트레빌,강서구,205.0,2003.0,개별난방,위탁관리,1,"같은 자치구·난방·관리, 세대수 ±30%, 연도 ±7",0.01485148514851485,4.0,93.41,8.7426,서울특별시,방화동,,1150010900,K-APT,2026-07-19T10:00:33+09:00,개화산동부센트레빌,서울특별시 강서구 방화동 870 개화산동부센트레빌,서울특별시 강서구 양천로3길 17,분양,계단식,26755.0,20386.773,16095.69,4.0,45.0,160.0,0.0,0.0,2003-02-24,15.0,1.0,동부건설(주),동부건설(주),True,K-APT_BASIC_V4,2026-07-20T08:41:57+09:00,100.0,True,True,True
